text,category
"ডাক্তার ভাই এর সাথে থাকার জন্য আপনাকে ধন্যবাদ । Rx , Tab Algin 50mg : 1 + 1 + 1 Cap Exium 20mg : 1 + 0 + 1 Suppository Voltalin 50mg - ১ স্টিক পায়খানার রাস্তায় দিবেন - ব্যাথা থাকলে Advice : - ওষুধ ব্যাতিত আপাতত মুখে কিছু খাবেন না - জরুরি ভিত্তিতে - USG of Whole Abdomen - Plan X ray Abdomen এই দুটি পরীক্ষা করে ইমার্জেন্সি বিভাগে যোগাযোগ করবেন । - ব্যাথার তীব্রতা বাড়লে দ্রুত হাসপাতালে জরুরি বিভাগে যোগাযোগ করবেন Dr < NAME > Mbbs",emergency
"ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । Tab xyril 10 mg 1 + 0 + 0 , 5 days , । ধন্যবাদ",medicine
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি ভেসেলিন লাগাতে পারেন । সিগারেট ছেড়ে দিলে ধীরে ধীরে দাগ কমে যাবে । ধন্যবাদ,medicine
"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Eromycin paediatric drop , দশ ফোঁটা এক বেলা , পাঁচ দিন । Ziflu Syrup , এক চামচের চারভাগের এক ভাগ , একবেলা , 10 দিন । এছাড়া বাচ্চাকে প্রচুর পরিমাণে বুকের দুধ খাওয়াবেন এবং বাচ্চা দুর্বল হয়ে গেলে অবশ্যই শিশু ডাক্তারের সরাসরি পরামর্শ নিবেন । ধন্যবাদ",medicine
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি ঔষধগুল চালিয়ে যান । গরম পানির সেক দিতে পারেন । একজন অর্থোপেডিক্স ডাক্তারের পরামর্শ নিতে পারেন । ধন্যবাদ,doctor
"আজকে অন্ডকোস আলট্রাসনো করছি , রিপর্ট নরমাল আইছে , ডাক্তার এ বলছে সমস্য নাই , কিন্তু আমার অন্ডকোসে মাঝে মাঝে হালকা টাটাই , কি সমস্য প্লিজ বলেন , এর কি কোন সমাধান নেই",symptoms
Thanks for questioning to daktervai . Syrup napa 1 tsf 6 hourly for 3 days . If temperature 101 or more degrees then use napa suppositories 60mg 1 stick per rectal exam,medicine
"ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । Syrup Ambrox - ২ টেবিল চামচ , ৩ বেলা খাবেন । । ধন্যবাদ",medicine
বয়স ৪০ বছর । মহিলা । TSH 0 . 68 mIU / L . Thyrox 50 প্রতিদিন একটা করে খায় । বর্তমান অবস্থা ও ঔষধ ঠিক আছে কি না ? দয়া করে জানাবেন ।,medicine
"আমি একটা ছেলে , আমার বয়স 21 বছর , আমার শরীর প্রচন্ড দুর্বল রক্ত টেস্ট করে পেলাম শরীরের রক্ত অনেক কম আছে , এখন কিভাবে আমি তাড়াতাড়ি শরীরে এনার্জি আনবো কোন জাতীয় খাবার খাব পরামর্শ দিন",nutrition
"আপনার প্রশ্নের জন্য ধন্যবাদ , আপনি আপনার ব্যাবহার্য কাপর এবং অন্নান্য পরিধেয় পোষাক পরিস্কার রাখবেন , প্রতিদিন পরিস্কার কাপর পরিধান করবেন । গোসলের পানিতে এন্টিসেপটিক দিয়ে গোসল করবেন । যে সমস্ত খাবারে এলার্জি হয় তা পরিহার করবেন । একজন চর্মরোগ বিশেষজ্ঞ চিকিৎসক এর পরামর্শ গ্রহন করুন । ভালো থাকবেন ।",nutrition
"ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । স্ট্রোকের রোগীদের রক্ত দান না করার পরামর্শ দেয়া হয় । পূর্বেই উল্লেখ করেছি , এতে পুনরায় স্ট্রোক হবার সম্ভাবনা ও হার্ট ফেইলারের সম্ভাবনা থাকে । ইতিমধ্যে আপনি গুরুত্বপূর্ণ ঔষধ গ্রহণ করেছেন যা রক্ত দান করলে আপনি এবং যাকে দান করবেন উভয়েরই খারাপ reaction হয়ে থাকবে । ধন্যবাদ ।",emergency
"Thank you for asking your question to daktarbhai . Ashole na dekhe bolata aktu kothin , valo hoy apni jodi kosto kore akjon Orthopaedic doctor ke dekhan .",doctor
আমার হাত এবং পায়ের তালু ঘামে । এবং এটা নিয়ে বেশ বিব্রতকর পরিস্থিতিতে পড়তে হয় । অনুগ্রহ করে এটা থেকে পরিত্রাণের সঠিক সমাধান জানালে উপকৃত হতাম ।,symptoms
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । ৭ দিন এন্টিবায়োটিক খাবার পর ও যখন বার বার জ্বর আসে ও গলায় ব্যাথা থাকে সেহেতু অবশ্যই আপনার করোনা টেষ্ট করে দেখা উচিত । এবং টেষ্ট করাক পর পরবর্তীতে চিকিৎকসা গ্রহন করুন ।,fever
দুধের নিচে বুকের খাচায় প্রচুর ব্যাথা | এবং নিঃশ্বাস টান দিলে বুকে খুবব্যাথা করে প্রায় ২ মাস দরে সমস্যা,symptoms
গত রাতে খাবার খাওয়ার পর থেকেই বমি বমি লাগছিল । খাবার টা হজম হয়নি মনে হচ্ছিল । সকালে ফজরের সময়েও এমন লেগেছে । পরে ঘুমিয়ে যাই । ১২টার দিকে উঠি । এখনো এমন লাগছে । বমি বমি ভাব আর শরীর দূর্বল । এখনো কিছু খাইনি সকাল থেকে । কি ঔষধ খাওয়া যেতে পারে ? প্রসঙ্গতঃ আর কোনো সমস্যা নেই । টয়লেট ও ঠিক আছে ।,nutrition
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । এই বয়সে osteoarthritis হওয়ার সম্ভাবন বেশি থাকে । xray করে অর্থপেডিক ডাক্তারের পরামর্শ নিবেন । আপাতত ব্যাথার জন্য tab . xenole 500 / 20mg 1 + 0 + 1 . . . . ১৪দিন ( খাবার আগে ),nutrition
"ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । Tab . Fexo 120 mg 1 + 0 + 1 5days , Tab . Monas 10mg 0 + 0 + 1 5days . প্রয়োজনে হাসপাতালে একজন মেডিসিন বিশেষজ্ঞ ডাক্তার এর পরামর্শ নিন ।",medicine
আমি গত কাল সকাল থেকে রাত পর্যন্ত জ্বর জ্বর বোধ করছিলাম তারপর তৎক্ষণাৎ নাপা প্যারাসিটামল খেয়েছি সকালে দুপুরে এবং রাতে | আজকে শরীরের পরিস্থিতি স্বাভাবিক অবস্থায় আছে জ্বর বোধ করছে না এখন আমি কি করতে পারি ? ? ? ( আমি আড়ং বসুন্ধরা সিটির একজন নিয়মিত বিক্রয়কর্মী ),fever
"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । আপনি Tab Napa Extend তিন বেলা 1 টি করে ট্যাবলেট ৩ - ৫ দিন , Tab Monas 10 রাতে একটি করে ট্যাবলেট ৫ দিন , Tab Maxpro 20 একটি করে ট্যাবলেট ২ বেলা ৩ - ৫দিন খেতে পারেন । এছাড়া উষ্ণ গরম পানিতে গা স্পঞ্জ করবেন । গরম পানি , লবন দিয়ে গার্গেল করবেন ৩ - ৪ বেলা প্রতিদিন । ধন্যবাদ",medicine
গ্রাহক ডাক্তারকে প্রশ্ন করার জন্য আপনাকে ধন্যবাদ । আপনার স্ত্রী এখন কোভিড ১৯ এর টিকা নিতে পারবেন । ধন্যবাদ ।,fever
"< NAME > বয়স 35 , গত 18জুন আমার জ্বর শুরু হয় 102 পর্যন্ত উঠেছিল 20তারিখ এন্টিজেন টেস্টে করোনা পজেটিভ আসে নাপা , অ্যাজিত 500 13টি , ইভেরা 6 খেয়েছিলাম 26জুন থেকে জ্বর চলে যায় 28জুন আবার হাসপাতালে স্যাম্পল দিলে এন্টিজেন টেস্টে করোনা নেগিটিভ আসে কিন্তু পিসিআর টেস্টের রেজাল্ট পাই 6জুলাই সেখানে পজেটিভ এসেছে । জ্বর , শ্বাসকষ্ট , গলাব্যথা এগুলো ছিল না এখনো পর্যন্ত নাই । কিন্তু আজ x ray রিপোর্টে ফুসফুসে ক্ষত সৃষ্টি হয়েছে দেখা যাচ্ছে । আমার ব্লাড প্রসারের হালকা সমস্যা আছে । দয়া করে পরামর্শ দিবেন ।",fever
আমার এইচবিএস বি ভাইরাস ধরা পড়েছে । এটা কি বড় কোন রোগ । হোমিওপ্যাথিক ওষুধের মাধ্যমে কি এই রোগ সারানো সম্ভব । এই রোগের চিকিৎসা খুব দ্রুত নেওয়া জরুরি কি ? ?,emergency
আমার জরায়ু থেকে প্রচুর পরিমানে সাদা স্রাব বের হচ্ছে । তা দেখতে অনেকটা ক্রিম রাবারের মতো । আর জরায়ুর পাশে অনেক চুলকানি হয় এখন কি করবো বুঝতে পারছি না ।,symptoms
ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Syp Pediamin 1 / 2 TSF at night for 7 days খাওয়াতে পারেন । লক্ষ্য রাখুন সেই সাথে বাচ্চার অন্য কোন সমস্যা হচ্ছে কিনা কিংবা বুকের দুধ ঠিকমত পাচ্ছে কিনা । প্রয়োজনে শিশু বিশেষজ্ঞের পরামর্শ নিন । ধন্যবাদ ।,medicine
কোমরে ও পেটের মধ্যে ব্যাথা কি করতে পারি ।,symptoms
আপনার প্রশ্নের জন্য ধন্যবাদ । আপনার সমস্যা গুরুতর নয় । জ্বর এর পর এমন হওয়া স্বাভাবিক । ঠিক হয়ে যাবে ৭ দিনের মধ্যে । ধন্যবাদ,fever
ধন্যবাদ আপনাকে প্রশ্ন করার জন্য । ডায়বেটিস কন্ট্রোল করতে না পারলে খেতে হবে । প্রেশার মাপিয়েছিলেন ?,symptoms
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি একজনবিশেষজ্ঞ অর্থপেডিক্স এর পরামর্শ নিন । ধন্যবাদ ।,doctor
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । হ্যা coralex - dx খেতে পারবেন । খাবারের অরুচির জন্য tab . motigut 10mg . . . 1 + 1 + 1 . . . 15দিন এবং tab . atoz premium 1 + 0 + 0 . . 1মাস সেবন করুন ।,nutrition
স্যার আমি এক মাসের গর্ভবতী আমার আমার পেটে উপরে ব্যাথা করে দয়া করে জানাবেন কি সমস্যা 15 দিন ধরে আমার এটা 2 সন্তান,symptoms
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । উনার ব্লাড প্রেসার কি low থাকে ? ? তাছারা উনার কি জ্বর আসে মাঝেমাঝে ? ? উনার blood pressure চেক করবেন । CBC with ESR with PBF পরীক্ষা করবেন এবং মেডিসিন বিশেষজ্ঞের পরামর্শ নিবেন ।,fever
Thanks for your question . apply hot compression . take clofenac 50 mg . Thanks,medicine
আমার স্ত্রী ৬ মাসের গর্ভবতী তার শুকনো কাশি আর পুরো শরিল চুলকায় চুলকাতে চুলকাতে ঘা উঠতেছে এখন কি করনীয় আশা করি পরামর্শ পাবো ।,fever
Thanks for questioning to daktervai . Tab Omidon 10mg 1 + 1 + 1 before meal 7 days,medicine
আমার স্ত্রীর বয়স ২৫ বছর । ১৪ দিনের বাচ্চা রয়েছে । বাচ্চা বুকের দুধ খাচ্ছে । আমার স্ত্রীর হালকা ঠান্ডা লেগেছে এবং নাকের সর্দি আছে । শরীরে হালকা জ্বর রয়েছে । মাথাব্যথা আছে । এখন কোন ঔষধ খাওয়ানো যাবে কিনা ।,fever
"3 দিন ধরে আমার মেয়ের কাশি , গত রাত বেশি কাশি হয় কাশির সাথে ভূমি করে , এখন ও শুকনো কাশি আছে এখন কি করব ?",fever
hydrocele bilateral and varicocele হইছে দুইটা রোগের জন্য কি আলাদা আলাদা অপারেশন করা দরকার নাকি একটা অপারেশন করলে হবে,symptoms
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । এই সমস্যার জন্য সরাসরি রোগী দেখা এবং কিছু পরীক্ষা করানো প্রয়োজন আপনি সরাসরি একজন Pediatrician এর পরামর্শ নিতে পারেন ধন্যবাদ,doctor
গর্ভবতী মায়ের প্রথম দিকে কি কি টেস্ট করা খুবই জরুরি । প্লিজ . . . . . . . .,emergency
আমার স্ত্রীর দৈনিক ই মাথা ব্যথা করে কিন্তু যখন মাথা ব্যথা করে তখন চোখ ফুলে উঠে এবং চোখ দিয়ে পানি পড়ে এমতাবস্থায় কি করনীয় ?,symptoms
Thank you for asking question to Daktarbhai . Take syrp adovas - - 2 tbs x 3 times daily - - after meal for 10 days . Do warm water gurgle 3 times daily . Thanks .,medicine
ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । খাবার নিয়ন্ত্রণ এবং ব্যায়াম করতে হবে । একজন পুষ্টি বিদের পরামর্শ নিতে পারেন ।,nutrition
Thank you for your question . Tab . Domin 10mg 1 + 0 + 1 . Thank you .,medicine
খারাপ লাগতে ছিল বমি বমি বুকে চাপ ENO খাবার পরে ভালো লাগতেছে ।,nutrition
আমার মেয়ের বয়স দশ মাস । বেশ কিছুদিন যাবৎ নাকের সর্দি ছিল । মাঝে মাঝে হাচি দিত । ডাক্তারের পরামর্শ অনুযায়ী ফেনাডিন সিরাপ খাওয়ানো হয়েছে । এখন হাচি নাই । এরপর কাশি হয়েছে । এখন কাশিও ঠিক হয়ে গেছে । কিন্তু এখন খিচুড়ি খাওয়ালে তা বমি করে ফেলে দেয় । খাওয়ানোর একটু পরেই বমি করে সব ফেলে দেয় । এখন কি করনীয় পরামর্শ চাই ।,fever
"করোনা হয়েছিলো , ২০ দিন আগে । তখন থেকে গলা ব্যথা , গলা চুলকাচ্ছে এবং কাশি । আদা , লবঙ্গ চা খাচ্ছি সারাক্ষণ । কিন্তু কিছুতেই কমছে না , রাতে গলা ব্যথায় ঘুমাতে পারিনা । নাকও চুলকাচ্ছে । কিকরতে পারি ?",fever
আমার সর্দির সমস্যা আছে । মাঝে মাঝে হঠাৎ করে শুরু হয় । অনেক হাঁচি কাশি হয় । নাক দিয়ে পানি পড়ে । এ সমস্যা হলে ফেক্সোফেনাডিন খাই । নাক বন্ধ হয়ে গেলে রাইনেক্স নেপাল ড্রপ ব্যবহার করি । একবার শুরু হলে ৩ - ৭ দিন থাকে । পুরোপুরি ভালো হওয়ার জন্য কি করতে পারি ? ধন্যবাদ । ।,fever
Thank you for asking your question to daktarbhai . 1 ) Tab . Monas 10mg ( 1 + 0 + 0 ) 15days after meal . 2 ) Syrup . Adovas ( 2 + 2 + 2 ) 10days after meal . 3 ) Gurgling with warm water 2times a day . 4 ) Do covid test as early possible .,medicine
"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । আপনি যেকোন ক্লিনিক্যাল ডায়েটিশিয়ানের পরামর্শ নিয়ে একটি ডায়েট চার্ট ফলো করতে পারেন । এছাড়া অতিরিক্ত কার্বোহাইড্রেট , চিনি , ফ্যাট জাতীয় খাবার , জাঙ্কফুড খাওয়া থেকে বিরত থাকুন । রেগুলার 30 থেকে 45 মিনিট করে হাঁটুন , প্রচুর পরিমাণে পানি পান করুন । এবং প্রয়োজনে থাইরয়েড টেস্ট করে ফেলতে পারেন । ধন্যবাদ",nutrition
"আমার পেতে প্রুচুর গ্যাস্টিক , , , , এখন আমি কি ঔষুধ খাবো",symptoms
আমার গত ৬ - ৭ দিন ধরে পেতে গ্যাস এর প্রচুর সমস্যা । মাঝেমাঝে পেত ব্যাথা করে তলপেটের উপর এর দিকে । পায়খানা করতে অনেক সময় লাগে । maxpro - 20 খাচ্ছি । এখন এই সমস্যার জন্য একজন কনসালটেন্ট দেখাবো । অনুগ্রহ করে সাহায্য করুন ।,symptoms
joint pain . plz tell me ' some medicine,symptoms
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার সমস্যা র জন্য মেডিসিন বিশেষজ্ঞ ডাক্তার কে দেকাতে হবে । প্রাথমিকভাবে লং প্যারা একটা করে খেতে পারেন । বিশ্রাম নিন । ধন্যবাদ ।,medicine
আমার স্ত্রীর বয়স ২৭ বছর ২ টি বাচ্চা আছে । প্রায় ২ বছর যাবত ফেমিকন পিল খাচ্ছে । আমার প্রশ্ন হচ্ছে এভাবে পিল খাওয়া চালিয়ে গেলে কি কোনো অসুবিধা হতে পারে ? সে পিল খাওয়া চালিয়ে যেতে চাচ্ছে ।,medicine
"ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । প্রত্যেকবার পাতলা পায়খানার পর ৫০০মিলি পানিতে ১ প্যাক ORS মিশিয়ে পান করুন । বেশি করে পানি , ডাবের পানি পান করবেন । পেট শক্ত করা খাবার জাউ ভাত , কাঁচা কলা ভর্তা , পেপে ভর্তা খাবেন । নিম্নোক্ত ঔষধ নিতে পারেন । 1 ) Tab Amodis 200mg - - 1 + 1 + 1 after meal for 3 days 2 ) Tab Napa Extend 665mg - - 1 + 1 + 1 after meal when there is pain 3 ) Cap Probitor 40mg - - 1 + 0 + 1 30min before meal for 15 days লাভবান না হলে দ্রুত হাসপাতালে চলে যাবেন । ধন্যবাদ ।",nutrition
"ডাক্তারভাই এর পক্ষ থেকে আপনাকে অনেক ধন্যবাদ , নিউ নেটাল বেবির যেকোনো প্রবলেম অবশ্যই ডাক্তার কে দেখিয়ে পরামর্শ নিতে হবে । ডাক্তার না দেখিয়ে কোন ধরণের ঔষধ সেবন করানো ঠিক হবে না । যত দ্রুত সম্ভব একজন শিশু বিশেষজ্ঞের সহায়তা নিন ।",doctor
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি কাঁচ কলা , পোলার চালের জাউ ভাত খান । ট্যাবলেট সিপ্রোফ্লক্সাসিন ৫০০ মিলিগ্রাম সকালে ও রাতে একটা করে ৩ দিন খান । পানি বেশি করে পান করুন । ওরস্যালাইন খান । ধন্যবাদ ।",medicine
"? আসসালামু আলাইকুম । আমার বয়স ২২ বছর । কিছু দিন যাবৎ , আমার অনেক ( মাত্যারিক্ত ) জিঞ্জি উঠে । আগে এমন হত না । আমার মাঝে মাঝে এমন জিঞ্জি উঠে যে হাত - পা নড়াতেও পারি না । বেশি সময় হাতে , আবার এক সাইট অবশ হয়ে যায় জিঞ্জি উঠার সময়ে । এ সমস্যার সমাধান কি ? প্লিজ বলবেন ?",symptoms
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার খুব সম্ভবত স্কেবিস হয়েছে । আপনি আপনার কাপড় ভাল করে ধুয়ে শুকাতে দিন । গরম পানি দিয়ে গোসল করে স্কেবেক্স ক্রিম গলার নিচ থেকে পায়ের পাতা পর্যন্ত লাগান । আট ঘন্টা রাখুন । পানি লাগাবেন না । ট্যাবলেট এলাট্রল ১০ মিলিগ্রাম রাতে একটা করে খেতে পারেন । ভাল না হলে একজন চর্ম রোগ বিশেষজ্ঞ কে দেখাতে হবে । ধন্যবাদ ।,symptoms
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি আপনার বোনকে নাপা ২টা করে ৩ বার খাবার পর খাওান । পানি বেশি করে খাওাবেন । বমির জন্য খাওয়ার আগে ট্যাবলেট ওমিডন একটা করে খাওয়াতে পারেন । একজন মেডিসিন এর ডাক্তার এর পরামর্শ নিন । ধন্যবাদ,nutrition
Thank you for your question This may b a hormonal problem . Do serum TSH and visit a medicine specialist and act accordingly . Grey hair is also familial . Take proper care of scalp and use matched shapmoo . Excess tension also causes hair fall . Thank you,doctor
"আমি গতকাল হাসপাতাল থেকে বাসায় এসেছি , ডক্টর এক সপ্তাহ এর মেডিসিন দিয়েছে , এখন আমি ইনসুরে্নস কিভাবে ক্লেইম করব",medicine
"Sir , sisoder mirakof drop r vkof drop ki same roger kas kore . Sir ei doita ki sisoder kofer kas kore .",medicine
"বাচ্চা বদ হজম এর কথা বলে কিনা , ? ওজন কত হবে ? Dr < NAME > Mbbs",symptoms
"শরীরের ওজন , উচ্চতা ও খাদ্যাভ্যাস সবই ঠিক আছে । শারিরিক পরিশ্রম ছাড়া ছেলেদের বুকের মেদ কমানোর কি কোন ওষুধ আছে ? উচ্চতা 5 ফুট 11 ইঞ্চি , ওজন 74 কেজি ।",nutrition
ডাক্তার ভাই এর সাথে থাকার জন্য ধন্যবাদ । আপাতত একটি গ্যাস্ট্রিকের একটি ঔষধ দিচ্ছি সেবন করুনঃ Cap Seclo 20mg : 1 + 0 + 1 - খাবার আগে । ব্যাথা এরপর ও থাকলে বা বাড়লে নিচের পরীক্ষাটি করে জরুরি বিভাগে যোগাযোগ করবেন Test : ECG Dr < NAME > Mbbs ( DU ),emergency
ধন্যবাদ আপনাকে প্রশ্নের জন্য । আপনার অনেক সমস্যা । প্রতিটি বিস্তারিত শুনতে হবে । মেডিসিন বিশেষজ্ঞ ডাক্তারের পরামর্শ নিন । ধন্যবাদ,doctor
Thanks for questioning daktarbhai . Please continue medicine for 7 days Sponging whole body when temp more than 100F Continue Napa syrup 6hrly And if temperature > = 101F then Apply Napa Suppository 125mg per rectally ( You can apply 8 hrly if needed ) Thanks,medicine
স্যার সকাল থেকে পেটের ব্যাথা ও পাতলা পায়খানা । তলপেটের ব্যাথা ।,symptoms
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ আপনি Clofenac gel প্রতি বেলা আক্রান্ত স্হানে লাগাবেন । আপনি একজন Medicine specialist এর পরামর্শ নিতে পারেন । ধন্যবাদ,medicine
আমার স্রীর বয়স ৩৫ । সাদা স্রাব শরীর দুর্বল । পরামর্শ চাই ।,symptoms
"আমার বাবার বয়স ৪৭ , তার ইতিমধ্যে ১ টা টিউমার , আর ১ টা পাইলসের অপারেশন হইছে , টিউমার অপারেশন এর পর থেকেই বাবার ঘন ঘন বলতে খাওয়ার পরেই বাথরুম হয় , আনুমানিক দিনে ৩ - ৪ বার , মাঝে মাঝে শরীর দূর্বল হলে বমিও হয় , এমতাবস্থায় আমাদের করণীয় কি ? ?",symptoms
"ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । আপনি কাছের কোন হাসপাতাল চলে যান । এক্স রে করতে হবে মাথার , এখন বিশেষজ্ঞ দেখান । এটা জরুরি । ধন্যবাদ ।",emergency
"আপনার প্রশ্নের জন্য ধন্যবাদ । শোয়ার ক্ষেত্রে অনিয়মের জন্য হতে পারে । ব্যাথা হলে নাপা খাবেন , গরম সেঁক দিবেন । ধন্যবাদ",symptoms
চোখ লাল হয়েছে এবং চোখে আতুস করতেছে এবং মাঝে মধ্যে পানি আসে,symptoms
